Article,Author,Link,Publisher,Chart Type,Techniques,Topics,,
《NBA大数据》解析常规赛：历史投篮最准赛季 一队球员伤停403场,RimZero,https://view.inews.qq.com/a/20210518A0405W00?tbkt=D&uid=,Tencent,"Lollipop, Line chart",Annotation,efficiency over years,Article,"basic stats, advanced metrics"
» Department of Defense,Kirk Goldsberry,https://grantland.com/features/department-of-defense/,ESPN,"Shot chart, Animated",animated,Player's shot chart,Article,spatial data
» Monster of the Midrange: Don’t Sleep on Chris Paul’s Deadly Elbow Jumper,Kirk Goldsberry,https://grantland.com/the-triangle/monster-of-the-midrange-dont-sleep-on-chris-pauls-deadly-elbow-jumper/,ESPN,Shot chart,"Highlight, Annotation",Player's shot chart,Article,spatial data
» Q&A: Kevin Love on Returning From a Dislocated Shoulder and the Evolution of His Game,Kirk Goldsberry,https://grantland.com/the-triangle/nba-kevin-love-cleveland-cavaliers-shoulder-injury-nba-preview-eastern-conference/,ESPN,"Shot chart, line chart",Annotation,Player's shot chart,Article,"spatial data, basic stats"
» Raising the Brow,Kirk Goldsberry,https://grantland.com/features/raising-the-brow/,ESPN,Shot chart,Annotation,Player's shot chart,Article,spatial data
» Roy Hibbert’s Hollywood Remake: How the Center and the Lakers Can Help Each Other,Kirk Goldsberry,https://grantland.com/the-triangle/roy-hibberts-hollywood-remake-how-the-center-and-the-lakers-can-help-each-other/,ESPN,"Beeswarm, Shot chart",,"Player's shot chart, Team defense",Article,"spatial data, advanced metrics"
"» Russell, the Creator",Kirk Goldsberry,https://grantland.com/features/russell-the-creator-westbrook-nba-oklahoma-city-thunder-western-conference-kevin-durant-serge-ibaka-kevin-love/,ESPN,Shot chart,Annotation,Player's shot chart,Article,spatial data
"» Spotting Spot-ups: Danny Green, DeMarre Carroll, and the Complicated Calculus of a 3-Point Shooter",Kirk Goldsberry,https://grantland.com/the-triangle/2015-nba-free-agency-3-point-shooter-danny-green-demarre-carroll/,ESPN,Shot chart,"Annotation, Labelling",Player's shot chart,Article,spatial data
» The NBA’s Next Shooting Revolution Has Already Been Televised,Kirk Goldsberry,https://grantland.com/the-triangle/the-nbas-next-shooting-revolution-has-already-been-televised/,ESPN,Shot chart,Annotation,Player's shot chart,Article,spatial data
30队选秀权价值有多高？四大超新星模板都是谁？NBA大数据给你答案,RimZero,https://view.inews.qq.com/a/20210730A0127600?tbkt=D&uid=,Tencent,"Stacked bar, Lollipop chart, Nightingale Rose Chart",,"Draft power ranking, player offense types, VORP for each draft rank",Article,advanced metrics
